[2025-08-24 16:03:30.593] LINEARIZABILITY_TEST_SUITE_START: Starting linearizability and write durability testing
[2025-08-24 16:03:30.594] CONFIG: Concurrent clients: 10, Operations per client: 100, Duration: 10m0s
[2025-08-24 16:04:00.749] CONNECTIVITY: Initial connectivity and consistency verified
[2025-08-24 16:04:00.823] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-5 (duration: 2.105375ms)
[2025-08-24 16:04:00.826] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-5 (duration: 4.405917ms)
[2025-08-24 16:04:00.826] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-5 (duration: 4.414792ms)
[2025-08-24 16:04:00.826] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-5 (duration: 4.425042ms)
[2025-08-24 16:04:00.826] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-5 (duration: 4.513833ms)
[2025-08-24 16:04:00.826] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-5 (duration: 4.565916ms)
[2025-08-24 16:04:00.826] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-5 (duration: 4.631416ms)
[2025-08-24 16:04:00.827] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-6 (duration: 1.417792ms)
[2025-08-24 16:04:00.833] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-6 (duration: 2.392417ms)
[2025-08-24 16:04:00.835] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-6 (duration: 1.570834ms)
[2025-08-24 16:04:00.839] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-6 (duration: 3.177291ms)
[2025-08-24 16:04:00.841] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-6 (duration: 2.709708ms)
[2025-08-24 16:04:00.841] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-6 (duration: 2.764542ms)
[2025-08-24 16:04:00.841] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-6 (duration: 2.71875ms)
[2025-08-24 16:04:00.841] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-6 (duration: 2.782208ms)
